step,loss
89361,0.0154
89424,0.0155
89457,0.0155
89512,0.0154
89614,0.0152
89716,0.0155
89818,0.0154
89857,0.0154
89902,0.0155
89999,0.0154
90003,0.0154
90105,0.0151
90207,0.0154
90254,0.0154
90291,0.0154
90393,0.0148
90495,0.0153
90597,0.0154
90654,0.0154
90683,0.0154
90785,0.0151
90887,0.0149
90989,0.0152
91054,0.0151
91075,0.0151
91177,0.0147
91279,0.0153
91381,0.0155
91454,0.0152
91467,0.0152
91569,0.0155
91671,0.0154
91773,0.0152
91854,0.015
91859,0.015
91961,0.0155
92063,0.0152
92165,0.0154
92254,0.015
92353,0.0153
92455,0.0153
92557,0.0151
92654,0.0151
92745,0.015
92847,0.0151
92949,0.0156
93051,0.0151
93054,0.0151
93146,0.0151
93157,0.0151
93241,0.0157
93343,0.0152
93445,0.0147
93547,0.0152
93557,0.0152
93633,0.015
93735,0.015
93837,0.0148
93939,0.0152
93957,0.0152
94025,0.0159
94127,0.0155
94229,0.0154
94331,0.0156
94357,0.0156
94417,0.0151
94519,0.0155
94621,0.0151
94723,0.015
94757,0.015
94808,0.0155
94910,0.0154
94999,0.0154
95011,0.0157
95113,0.0149
95155,0.0149
95198,0.0149
95300,0.0151
95402,0.0152
95504,0.0157
95555,0.0157
95590,0.0157
95692,0.0154
95794,0.015
95896,0.0149
95955,0.0154
95982,0.0154
96084,0.0153
96186,0.0149
96288,0.0156
96355,0.0147
96374,0.0147
96476,0.0151
96578,0.0152
96680,0.0155
96755,0.0152
96805,0.0154
96866,0.0154
96968,0.0156
97070,0.015
97172,0.0153
97205,0.0155
97258,0.0155
97360,0.0152
97462,0.0153
97564,0.0151
97605,0.0155
97650,0.0155
97752,0.0148
97854,0.0152
97956,0.0156
98005,0.015
98042,0.015
98144,0.0153
98246,0.0155
98348,0.0152
98405,0.0151
98434,0.0151
98536,0.0154
98638,0.0154
98740,0.0155
98805,0.0154
98826,0.0154
98928,0.0153
99030,0.0156
99132,0.0153
99205,0.0152
99218,0.0152
99320,0.0152
99422,0.0152
99524,0.0155
99605,0.0155
99707,0.0153
99809,0.0153
99911,0.0152
99999,0.0156
100000,0.0156
